x,y,Ordre
46954,33619,4173
41208,40666,25038
41208,9327,25038
24662,5907,12519
24662,44086,12519
6153,47650,12519
6153,2343,12519
476,42334,8346
476,7659,8346
32224,6537,25038
32224,43456,25038
29614,47519,16692
29614,2474,16692
47299,8234,50076
47299,41759,50076
26439,42531,12519
26439,7462,12519
5095,5251,5564
5095,44742,5564
12354,19711,16692
12354,30282,16692
36284,13470,50076
36284,36523,50076
987,7512,12519
987,42481,12519
46361,48535,16692
46361,1458,16692
39086,5391,8346
39086,44602,8346
13225,15408,50076
13225,34585,50076
43605,11358,16692
43605,38635,16692
16427,6647,12519
16427,43346,12519
39358,9108,8346
39358,40885,8346
46028,33352,50076
46028,16641,50076
27864,2619,25038
27864,47374,25038
39996,9186,4173
39996,40807,4173
33463,32524,25038
33463,17469,25038
13931,41550,16692
13931,8443,16692
34970,16901,3852
34970,33092,3852
46539,48389,12519
46539,1604,12519
16675,38740,5564
16675,11253,5564
29377,33498,16692
29377,16495,16692
14966,46491,25038
14966,3502,25038
36740,27280,4173
36740,22713,4173
4580,32374,12519
4580,17619,12519
34471,16886,16692
34471,33107,16692
39832,10301,1926
39832,39692,1926
19949,33079,12519
19949,16914,12519
10853,2173,50076
10853,47820,50076
26141,26145,50076
26141,23848,50076
31774,7293,25038
31774,42700,25038
27413,4723,2782
27413,45270,2782
10803,32545,50076
10803,17448,50076
16949,27953,16692
16949,22040,16692
27320,8062,25038
27320,41931,25038
6893,30824,50076
6893,19169,50076
17143,34606,50076
17143,15387,50076
444,22750,8346
444,27243,8346
3264,20643,25038
3264,29350,25038
6362,36843,16692
6362,13150,16692
7010,33323,25038
7010,16670,25038
3889,21705,25038
3889,28288,25038
23654,9527,50076
23654,40466,50076
25671,19369,16692
25671,30624,16692
38748,10109,16692
38748,39884,16692
28214,39797,50076
28214,10196,50076
13232,49230,25038
13232,763,25038
11775,11166,12519
11775,38827,12519
35231,3085,2782
35231,46908,2782
23779,37458,3852
23779,12535,3852
21315,36547,50076
21315,13446,50076
35805,26251,1391
35805,23742,1391
35810,19650,4173
35810,30343,4173
26058,44425,4173
26058,5568,4173
14654,11324,12519
14654,38669,12519
34468,27257,4173
34468,22736,4173
5242,37115,963
5242,12878,963
37834,6858,12519
37834,43135,12519
21622,41073,50076
21622,8920,50076
24445,24471,50076
24445,25522,50076
1292,7350,50076
1292,42643,50076
16141,27826,25038
16141,22167,25038
12602,23122,12519
12602,26871,12519
31571,2629,25038
31571,47364,25038
25835,39724,12519
25835,10269,12519
8866,43351,8346
8866,6642,8346
12462,28580,50076
12462,21413,50076
41413,10382,50076
41413,39611,50076
46733,49631,50076
46733,362,50076
31055,40165,50076
31055,9828,50076
15235,2721,25038
15235,47272,25038
17198,49574,16692
17198,419,16692
11914,19179,50076
11914,30814,50076
37393,49204,50076
37393,789,50076
46152,14396,16692
46152,35597,16692
25177,19028,25038
25177,30965,25038
25768,47804,12519
25768,2189,12519
44373,47113,12519
44373,2880,12519
42455,38933,50076
42455,11060,50076
34168,2972,1284
34168,47021,1284
17098,27211,50076
17098,22782,50076
42019,40986,16692
42019,9007,16692
21810,29128,50076
21810,20865,50076
44480,23710,12519
44480,26283,12519
29839,18748,25038
29839,31245,25038
47625,21900,2782
47625,28093,2782
34315,858,1926
34315,49135,1926
23028,38787,50076
23028,11206,50076
19662,1895,25038
19662,48098,25038
42941,26856,321
42941,23137,321
19578,32986,50076
19578,17007,50076
7129,13868,1284
7129,36125,1284
18739,3118,3852
18739,46875,3852
48317,44533,50076
48317,5460,50076
9653,16992,16692
9653,33001,16692
34362,13721,1391
34362,36272,1391
27636,43619,50076
27636,6374,50076
49194,3236,5564
49194,46757,5564
20472,9108,50076
20472,40885,50076
7120,3996,1391
7120,45997,1391
25189,16300,321
25189,33693,321
1857,41099,50076
1857,8894,50076
9695,9624,1391
9695,40369,1391
18368,46799,25038
18368,3194,25038
16551,645,12519
16551,49348,12519
47253,6577,1391
47253,43416,1391
20061,37972,16692
20061,12021,16692
13860,31089,4173
13860,18904,4173
507,46178,50076
507,3815,50076
18025,27665,16692
18025,22328,16692
31195,44659,50076
31195,5334,50076
31649,46247,50076
31649,3746,50076
45891,6854,50076
45891,43139,50076
48616,3893,12519
48616,46100,12519
13933,11498,12519
